date_key,country_code,flow_code,clearence_code,mot_code,value,product_code
20250101,CAN,FM,C00,3200,80255037.237,12
20250101,CAN,RM,C00,3200,427286.276,12
20250101,CAN,RX,C00,3200,1763928.708,12
20250101,CAN,DX,C00,1000,607751.755,22
20250101,CAN,FM,C00,1000,1420044.764,22
20250101,CAN,RM,C00,1000,409.901,22
20250101,CAN,RX,C00,1000,436.301,22
20250101,CAN,DX,C00,2000,14394353.006,22
20250101,CAN,FM,C00,2000,216616726.567,22
20250101,CAN,RM,C00,2000,17.369,22
20250101,CAN,RX,C00,2000,114739.604,22
20250101,CAN,DX,C00,3100,12629153.605,22
20250101,CAN,FM,C00,3100,116995846.083,22
20250101,CAN,RM,C00,3100,17764.689,22
20250101,CAN,DX,C00,3200,115451966.084,22
20250101,CAN,FM,C00,3200,157142900.996,22
20250101,CAN,RM,C00,3200,81936.415,22
20250101,CAN,RX,C00,3200,2489002.443,22
20250101,CAN,DX,C00,1000,95670.874,24
20250101,CAN,FM,C00,1000,42677027.301,24
20250101,CAN,RX,C00,1000,26680.381,24
20250101,CAN,DX,C00,2000,230288.589,24
20250101,CAN,FM,C00,2000,9362730.3,24
20250101,CAN,FM,C00,3100,265997.212,24
20250101,CAN,DX,C00,3200,17799911.967,24
20250101,CAN,FM,C00,3200,9064217.524,24
20250101,CAN,RX,C00,3200,834649.977,24
20250101,CAN,DX,C00,1000,189691351.626,30
20250101,CAN,FM,C00,1000,489749299.588,30
20250101,CAN,RM,C00,1000,1724090.507,30
20250101,CAN,RX,C00,1000,1715440.903,30
20250101,CAN,DX,C00,2000,16631729.78,30
20250101,CAN,FM,C00,2000,309207539.51,30
20250101,CAN,RM,C00,2000,108686.965,30
20250101,CAN,RX,C00,2000,1216922.879,30
20250101,CAN,DX,C00,3100,162627.842,30
20250101,CAN,FM,C00,3100,2086417.214,30
20250101,CAN,DX,C00,3200,724890015.589,30
20250101,CAN,FM,C00,3200,470187914.15,30
20250101,CAN,RM,C00,3200,2542298.595,30
20250101,CAN,RX,C00,3200,156907709.576,30
20250101,CAN,DX,C00,1000,352896.206,44
20250101,CAN,FM,C00,1000,1208113.483,44
20250101,CAN,RM,C00,1000,4916.032,44
20250101,CAN,RX,C00,1000,16271.677,44
20250101,CAN,DX,C00,2000,140554485.933,44
20250101,CAN,FM,C00,2000,103287738.775,44
20250101,CAN,RX,C00,2000,182416.33,44
